qid	year	label	no	content_verbatim	content_fixed	choice_a	choice_b	choice_c	choice_d	answer	chapter	attachment_link	mixed_choices
Ezrytrhs	2015	1.20	19	Un talweg désigne :		une zone de plus basse pression atmosphérique que les régions environnantes	une surpression devant une chaîne de montagnes	une zone de ciel clair associée à l'effet de fœhn	une zone où l'on trouve des entrées maritimes	0	3.2.		True
JznCVah5	2015	2.1	20	Si l'on place un profil d'aile dans une soufflerie où l'écoulement s'effectue à vitesse constante (cf. figure 1), la portance provient :	Si l’on place un profil d’aile dans une soufflerie où l’écoulement s’effectue à vitesse constante, la portance provient :	d'une surpression sur l'intrados et sur l'extrados	d'une surpression sur l'intrados et d'une dépression sur l'extrados	d'une dépression sur l'intrados et sur l'extrados	d'une dépression sur l'intrados et d'une surpression sur l'extrados	1	2.1.		True
459Ea1AU	2015	2.2	21	Sur la figure 1, le point A est appelé :		bord de fuite	foyer	bord d'attaque	centre de poussée de l'aile	2			
thSr7h3O	2015	2.3	22	Par définition, la portance est la composante de la résultante aérodynamique :		parallèle à la direction du vent relatif	parallèle à la corde de profil de l'aile	perpendiculaire à la direction du vent relatif	perpendiculaire à la corde de profil de l'aile	2			
9oOkdBhT	2015	2.4	23	On appelle incidence ou angle d'attaque, l'angle formé par :		la corde de l'aile et l'horizon	la direction du vent relatif et l'horizon	la corde de l'aile et la direction du vent relatif	la corde de l'aile et l'axe longitudinal de l'aéronef	2			
py44l67r	2015	2.5	24	Pour un aéronef en vol en palier stabilisé (vol horizontal stabilisé), quelle proposition est correcte ?		la portance est légèrement inférieure au poids	la portance équilibre la traînée	la portance et la traction sont identiques	la portance équilibre le poids	3			
626lPU67	2015	2.6	25	Le facteur de charge est défini comme le rapport :		poids / traînée	portance / traînée	traînée / poids	portance / poids	3			
BDo9ut4I	2015	2.7	26	Le facteur de charge subi par un aéronef en virage :		diminue avec l'inclinaison	est toujours égal à 2	ne dépend que du type d'aéronef	augmente avec l'inclinaison	3	2.2.		True
Y0hKbrIQ	2015	2.8	27	En vol en palier stabilisé (vol horizontal stabilisé), la force de propulsion (traction hélice ou poussée réacteur) équilibre :		le poids	la portance	la traînée	la résultante aérodynamique	2	2.2.		True
X84nJiaP	2015	2.9	28	Pour passer d'un vol rectiligne stabilisé à un virage horizontal stabilisé, il faut :		diminuer la portance	diminuer la force de propulsion	augmenter la portance	augmenter le poids	2	2.2.		True
pkWcNyBq	2015	2.10	29	Le décrochage d'une aile est lié :		uniquement à la vitesse du vent relatif	à son incidence	à la charge du profil	à la valeur de la traînée	1	2.1.		True
bLfulFZx	2015	2.11	30	L'incidence est positive lorsque :		l'écoulement est parallèle à la corde du profil	l'écoulement attaque le profil du côté de l'extrados	l'écoulement attaque le profil du côté de l'intrados	l'aéronef est en vol dos stabilisé	2	2.1.		True
PVGts7VE	2015	2.12	31	Dans un écoulement d'air, lorsque les particules d'air sont animées de la même vitesse et suivent des trajectoires rectilignes et parallèles entre elles, on dit que l'écoulement est :		tourbillonnant	de couche limite	turbulent	laminaire	3	2.1.		True
qQgCh3Oc	2015	2.13	32	Sur la polaire représentée sur la figure 2, quel point représente l'incidence de portance maximale ?	Sur la polaire, quel point représente l’incidence de portance maximale ?	le point A	le point B	le point C	le point D	1	2.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FdVdlxiTB8aBFcTfeeEgu?alt=media&token=dc1c3e13-10dc-475e-a41d-75117aead295	False
YQiWBlCX	2015	2.14	33	Sur la polaire présentée en figure 2, le point C correspond à :	Sur la polaire, à quoi correspond le point C correspond ?	la traînée minimale	la finesse maximale	la portance minimale	la portance maximale	1	2.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2F7MGk2vsB5iv7ZnFikGio?alt=media&token=2df0ec05-b541-43c5-aa22-a7ebea8dc921	True
ZrlbJWl4	2015	2.15	34	Les dispositifs hypersustentateurs, utilisés par exemple sur les avions de ligne, ont pour but :	Quel est le but des dispositifs hypersustentateurs utilisés par exemple sur les avions de ligne ?	de diminuer la portance à vitesse élevée (par exemple : pour une descente d'urgence)	d'augmenter la vitesse de décrochage pour certaines manœuvres	de diminuer la traînée pour certaines manœuvres	de diminuer la vitesse de décrochage dans certaines phases de vol (par exemple : au décollage et à l'atterrissage)	3	2.1.		True
sj0pD9pF	2015	2.16	35	Lorsqu'une aile approche l'incidence de décrochage, l'écoulement des filets d'air sur l'extrados devient :		turbulent au bord d'attaque et laminaire au bord de fuite	"tourbillonnaire dès le bord d'attaque, les filets d'air ""décollent"" de la surface de l'aile"	laminaire sur tout le profil	laminaire sur les deux premiers tiers de l'aile, turbulent proche du bord de fuite	1	2.1.		True
WrPk6wvH	2015	2.17	36	Pour un aéronef en montée rectiligne uniforme, la force de traction de l'hélice est fonction :		uniquement de la traînée	de la traînée, du poids et de l'angle de montée	uniquement du poids et de la portance	du poids et de l'angle de montée	1			
81ZG8Yik	2015	2.18	37	Pour une masse d'air donnée et à incidence fixée, si l'on multiplie par 2 la vitesse de l'air par rapport à un profil, la portance sera multipliée par :		4	2	3	1, la portance ne dépendant pas de la vitesse relative	0	2.1.		True
TbynBgf5	2015	2.19	38	Le profil présenté sur la figure 3 est de type :	Le profil présenté ici est de type :	convexe concave (ou creux)	biconvexe symétrique	plan convexe	biconvexe dissymétrique	3	2.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2Fv9VV2Wx95vSlZdg262jh?alt=media&token=eee2a034-2021-4798-ad80-9115b23417b7	True
fQHaVdqe	2015	2.20	39	Un planeur dont la finesse maximale est de 40 vole en ligne droite à sa vitesse de finesse maximale dans une masse d'air calme. Pour parcourir 20 km, combien d'altitude va-t-il perdre au minimum ?		250 m	500 m	1000 m	2000 m	1	2.1.		True
LjLkBDRM	2015	3.1	40	Tout appareil capable de s'élever et de circuler dans l'espace aérien :		est un aéronef	subit des forces de portance et de traînée	possède obligatoirement un moteur	est piloté depuis l'intérieur de son cockpit	0			
owKAe5LR	2015	3.2	41	Une montgolfière :		s'élève dans l'air car la masse volumique de l'air chaud est plus faible que celle de l'air froid	perd de l'altitude lorsque la température de l'air situé dans l'enveloppe augmente	fait partie de la catégorie des aérodynes	peut être dirigée à l'aide d'une gouverne de profondeur située sur la nacelle	0			
8XYEOVQQ	2015	3.3	42	Un aéronef qui, en croisière, voit son rotor entraîné par le vent relatif est :		un convertible	un girodyne	un hélicoptère	un autogire	3			
qGl8tsgv	2015	3.4	43	Un appareil semi-rigide qui se pilote par déplacement de la position du pilote est :		un parachute	un ballon à gaz	un ballon à air chaud	un deltaplane	3	1.1.		True
wGczy0qV	2015	3.5	44	Un turbopropulseur :		est un pulsoréacteur précédé d'un réducteur et d'une hélice	est un statoréacteur précédé d'un réducteur et d'une hélice	est un moteur thermique équipé d'un turbocompresseur	est un turboréacteur précédé d'un réducteur et d'une hélice	3			
H994Rm1E	2015	3.6	45	Dans un moteur 4 temps, lors de l'explosion (ou combustion) :		une des soupapes est fermée	les soupapes sont ouvertes	les soupapes sont fermées	l'ouverture ou la fermeture des soupapes n'a pas d'importance	2	1.3.		True
m7X8vf9X	2015	3.7	46	Sur un avion certifié, un moteur à pistons contenant 4 cylindres est pourvu au total de :		2 bougies d'allumage	4 bougies d'allumage	8 bougies d'allumage	0 bougie d'allumage	2			
rFjpHsOk	2015	3.8	47	Un moteur de fusée fonctionne :		dans l'atmosphère et dans l'espace	uniquement dans l'atmosphère	uniquement dans l'espace	uniquement à une altitude comprise entre 0 et 100 km	0	1.3.		True
XD24NOm1	2015	3.9	48	Le vol d'un lanceur de type fusée commence par :		une phase centrifuge	une phase tractive	une phase propulsée	une phase balistique	2	1.1.		True
zca1Bq6z	2015	3.10	49	Le petit pas de l'hélice à pas variable est utilisé pour :		l'atterrissage uniquement	le décollage uniquement	le décollage et l'atterrissage	le vol de croisière	2	1.3.		True
3v8Yu5J0	2015	3.11	50	Les avions de transport ont des réservoirs de carburant dans les ailes pour :		que l'avion soit moins stable en vol quand l'air est turbulent	obtenir du carburant plus froid donc plus dense, ce qui améliore le rendement des moteurs	limiter la consommation des moteurs	limiter les efforts au niveau de l'emplanture de l'aile	3	1.1.		True
e6kkxvOa	2015	3.12	51	Les éléments 1, 2 et 3 de la structure de l'avion représentée ci-contre sont :		1 : longeron - 2 : nervure - 3 : entretoise	1 : nervure - 2 : couple - 3 : lisse	1 : longeron - 2 : traverse - 3 : semelle	1 : couple - 2 : entretoise - 3 : traverse	0	1.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FgBX7dwy8nd6WyD3iMivg?alt=media&token=943ff0af-7c01-42f1-b884-d4c445a765d8	True
AfXV2YIF	2015	3.13	52	L'extrados de l'aile d'un avion en vol de croisière subit :		un cisaillement	une traction	une compression	une torsion	2	1.1.		True
PqO1EMgc	2015	3.14	53	La description correcte de l'aéronef représenté ci-contre est :		aile médiane à dièdre positif et empennage en « V »	aile basse à dièdre positif et dérive surélevée	aile basse à flèche positive et empennage en « V »	aile médiane à dièdre positif et empennage en « T »	0	1.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2F4N1RY8lWs2PGrv2RBYYb?alt=media&token=5fed23ca-b8aa-4614-8185-8d2de1b9d832	True
OPA0Xwx1	2015	3.15	54	La gouverne de profondeur agit sur :		le roulis	le lacet	le roulis et le lacet simultanément	le tangage	3	1.1.		True
QIo99ujI	2015	3.16	55	Un train tricycle :		ne peut pas être escamotable	possède deux trains principaux et une roulette de nez	possède une roulette de queue et deux trains principaux	n'est plus utilisé sur les avions de transport moderne	1	1.1.		True
7yFwPJaZ	2015	3.17	56	Pour indiquer l'altitude, l'altimètre utilise :		la différence entre la pression totale et la pression dynamique	la pression totale	la pression dynamique	la pression statique	3			
3DDQTLL0	2015	3.18	57	Parmi ces instruments, celui qui utilise un gyroscope est :		l'horizon artificiel	le compas magnétique	l'anémomètre	le tachymètre	0			
jil4PwoK	2015	3.19	58	Le variomètre indique :		la vitesse horizontale	la vitesse verticale	l'altitude	les variations de régime moteur	1			
VIABJXUZ	2015	3.20	59	En phase d'atterrissage, lorsque toutes les roues ont touché la piste, les spoilers :		servent essentiellement à détruire la portance de l'aile afin de plaquer l'avion au sol pour que les freins de roues soient plus efficaces	sont une aide au pilotage qui permet à l'avion de conserver son axe durant cette phase de roulage. Ils sortent soit à droite soit à gauche. Cette fonction est utilisée sur piste contaminée (pluie, neige, glace, grêle…)	ne sont utiles que durant le vol	servent essentiellement à augmenter la traînée de l'aile afin de freiner l'avion sur la piste. C'est le moyen de freinage le plus efficace	0	1.1.		True
om4tj48k	2015	4.1	60	Comment est appelé l'angle entre le nord vrai et le nord magnétique ?		déclinaison magnétique	déviation	erreur de parallaxe	inclinaison magnétique	0			
yIcxQR1Q	2015	4.2	61	Sur une carte, comment sont appelées les lignes joignant les points d'égale déclinaison magnétique ?		isogones	isotopes	isobares	isothermes	0			
BVmWz0wk	2015	4.3	62	Quelle est la correspondance d'un mille nautique dans le système métrique ?		1 528 mètres	1 609 mètres	0,8 km²	1,852 km	3			
VtfWy7Fn	2015	4.4	63	Sur une carte OACI au 1/500 000, la distance mesurée entre deux points est de 14 cm. Quelle est la distance qui les sépare réellement ?		14 km	70 km	14 Nm	28 Nm	1	4.3.		True
FDxb4uLz	2015	4.5	64	Un avion vol de Brest vers Strasbourg. Le pilote doit être vigilant au fait que le soleil se couchera à Strasbourg :		à la même heure que Brest	plus tard qu'à Brest	plus tôt qu'à Brest	la réponse dépend de la saison	2	4.3.		True
LtFSznsn	2015	4.6	65	En combien de temps la terre tourne-t-elle sur elle-même de 30° ?		2 heures	300 minutes	12 heures	30 minutes	0	4.3.		True
EDgnfIIq	2015	4.7	66	Sur une fréquence radio, comment s'identifiera un avion immatriculé F-GSBC ?		France - Golf - Sierra - Bravo - Charlie	François - Gabriel - Solange - Bernard - Charles	Fox Trot - Golf - Sierra - Bravo - Charlie	Bravo - Charlie	2	4.1.		True
26I6B2NH	2015	4.8	67	En quoi consiste le cheminement ?		suivre les indications d'un GPS	suivre le chemin indiqué par le contrôle aérien	suivre des repères sol caractéristiques	suivre uniquement les voies de chemins de fer	2	4.3.		True
AhhpYsYm	2015	4.9	68	A quoi sert le transpondeur dans un aéronef ?		recevoir les informations météorologiques	voler sans visibilité	répondre automatiquement aux questions des contrôleurs	identifier l'aéronef et le suivre au radar sol	3	4.1.		True
vynOY2gv	2015	4.10	69	Comment sera numérotée une piste d'orientation magnétique de 104 ° ?		11	10	04	104	1			
Tcvm2gUc	2015	4.11	70	Que permet d'indiquer la manche à air sur un aérodrome ?		le numéro de la piste en service	la température de l'air	le sens et la vitesse du vent	le sens d'atterrissage, dos au vent	2	4.1.		True
gU1y1hKq	2015	4.12	71	Quelle est la référence altimétrique d'un niveau de vol (FL = Flight Level) ?		la pression GPS	la pression au niveau de la mer	la pression au niveau du sol	la pression 1013 hPa	3	4.1.		True
e9NzA1Pk	2015	4.13	72	Quel est la règle quand un aéronef souhaite en dépasser un autre ?		dépasser par la gauche	dépasser par la droite	dépasser par au-dessus	dépasser par en-dessous	1	4.1.		True
a7W4e14f	2015	4.14	73	Quelle est la position d'un avion qui vole en circuit de piste parallèlement à la piste ?		étape de base	vent debout	vent arrière	vent de travers	2	4.1.		True
yjBFEegs	2015	4.15	74	A quel type de zone correspond une zone identifiée par la lettre « P » ?		une zone dont la pénétration est interdite	une zone dont la pénétration est réservée aux vols professionnels	une zone dont la pénétration est dangereuse	une zone dont la pénétration est protégée par une couverture radar	0	4.1.		True
AF8DTeT3	2015	4.16	75	Un aéronef vole pendant 6 minutes à une vitesse sol de 120 kt. Quelle distance a-t-il parcourue ?		22 km	22 Nm	20 Nm	12 Nm	3	4.3.		True
mO9ZkU67	2015	4.17	76	Que peut-on dire de la vitesse sol (Vs) par vent de face ?		elle est supérieure à la vitesse propre (VP) de l'aéronef	elle est inférieure à la vitesse propre (VP) de l'aéronef	elle est égale à la vitesse propre (VP) de l'aéronef	elle n'est pas influencée par le vent mais par la route suivie	1	4.3.		True
Rt8pL19e	2015	4.18	77	Parmi les causes d'accident suivantes, quelle est celle qui est la plus souvent observée en aviation légère ?		la trop grande force du vent	la panne mécanique	la consommation de substances toxiques (alcool, médicaments, drogues, etc.)	l'obstination à vouloir atteindre la destination	3	4.2.		True
kFYTBbRu	2015	4.19	78	Qu'est-ce que l'hypoxie ?		le défaut d'oxygénation dû à l'altitude	la présence d'alcool dans l'organisme à faible dose	l'insuffisance respiratoire due aux accélérations et décélérations	la suffocation due au stress du pilote	0	4.2.		True
hFw6B5BZ	2015	4.20	79	Qu'est-ce que l'effet tunnel ?		un phénomène météorologique dû à un couloir de nuages	la concentration du pilote sur un nombre limité d'informations ou d'observations	le fait pour un aéronef d'être pris entre deux couches nuageuses	le fait pour un pilote d'être désorienté en raison de l'absence de repère visuel autre qu'une faible lumière au travers du nuage (Halo)	1	4.2.		True
sT25jyna	2015	5.1	80	Parmi les travaux réalisés par Léonard de Vinci, en rapport avec la possibilité de voler, on peut citer :		le parachute	la fusée	le drone	l'avion motorisé	0			
FCwUb9U9	2015	5.2	81	La première traversée de la Manche en ballon a eu lieu en :		1909	1830	1785	1870	2	5.		True
Na7M3oum	2015	5.3	82	En 1783, le premier vol d'un ballon à air chaud est rendu possible grâce au travail des frères :		Wright	Montgolfier	Caudron	Voisin	1			
XmI2nSDZ	2015	5.4	83	Le premier appareil civil entièrement équipé de commandes électriques est :		la Caravelle	le Boeing 737	l'A320	le Mercure	2			
3dH71MEk	2015	5.5	84	Henri Guillaumet est :		un as de la Seconde Guerre Mondiale	un as de la Première Guerre Mondiale	un pilote de l'Aéropostale	un personnage de fiction	2	5.		True
NOp2fVjG	2015	5.6	85	Le « Grand Cirque » est un récit de la seconde guerre mondiale écrit par :		Pierre Clostermann	Romain Gary	Albert Camus	André Malraux	0	5.		True
kkIzcnU8	2015	5.7	86	Lors de sa traversée de l'Atlantique en 1927, Charles Lindbergh se pose :		à Pontoise	à Étampes	à Orly	au Bourget	3	5.		True
A7r482Nn	2015	5.8	87	La navette américaine Colombia a effectué son premier vol spatial en :		1981	1992	1974	2001	0	5.		True
SIEhmptC	2015	5.9	88	En 1917, l'as allemand Mandfred Von Richtofen s'illustre aux commandes de son Fokker DRI, cet avion connu pour sa maniabilité était équipé de :		une aile	deux ailes	trois ailes	quatre ailes	2	5.		True
xuZ4L1sQ	2015	5.10	89	Le satellite Hubble est :		un laboratoire spatial	un satellite de télécommunication	un satellite espion	un télescope spatial	3	5.		True
jnGYwr8r	2015	5.11	90	Le premier vecteur aérien de la bombe nucléaire française est :		le mirage 2000	le mirage III	le mirage IV	le mirage F1	2	5.		True
iyGn1hfF	2015	5.12	91	Le président américain qui a prononcé le discours emblématique ayant lancé le programme d'exploration lunaire est :		Nixon	Kennedy	Eisenhower	Johnson	1	5.		True
MeoPH1td	2015	5.13	92	Georges Guynemer a été abattu sur :		un Fokker	un Breguet	un SPAD	un Spitfire	2	5.		True
Q55iaTiu	2015	5.14	93	Le premier vol du Flyer des Frères Wright a eu lieu en :		1895	1890	1913	1903	3	5.		True
tnA1oNtv	2015	5.15	94	Octave Chanute est :		le premier directeur de l'Aéropostale	le premier président d'Airbus	un ingénieur américain d'origine française pionnier de l'aviation	le premier « ministre de l'air »	2			
MGBn3Ypk	2015	5.16	95	Le Concorde a été construit :		par Dassault	dans le cadre d'une coopération franco-allemande	par Airbus	dans le cadre d'une coopération franco-britannique	3	5.		True
r1IKr8Nw	2015	5.17	96	La compagnie Air France a été créée en :		1933	1945	1920	1970	0			
2Byr2dTK	2015	5.18	97	Le Constellation est un avion de type :		quadrimoteur à hélices	bimoteur à réaction	hydravion à hélices	quadrimoteur à réaction	0	5.		True
xbS0PWNe	2015	5.19	98	Le premier vol de l'A380 a eu lieu en :		2005	2000	2010	1995	0	5.		True
NGvYpmaj	2015	5.20	99	En novembre 2014, la sonde Roseta a déposé sur la comète Churyumov un robot appelé :		Voyager	Philae	Opportunity	Curiosity	1			
mxWNeH8R	2015	F.1	100	En anglais, quel est le terme employé pour désigner les ailerons ?		flaps	wings	gear	ailerons	3	6.		True
4UtteSKq	2015	F.2	101	En anglais, quel est le terme employé pour désigner la gouverne de direction ?		flaps	rudder	tail	direction system	1	6.		True
TB9wXdFM	2015	F.3	102	En anglais, quel est le terme employé pour désigner les volets ?		winglets	spoilers	foilers	flaps	3	6.		True
ljrMLrPR	2015	F.4	103	En anglais, quel est le terme employé pour désigner les commandes de vol ?		flight control	plane commands	fly stuff	flight commands	0	6.		True
Q4EpdJ7s	2015	F.5	104	En anglais, quel est le terme employé pour désigner le train d'atterrissage ?		landing system	landing wheels	landing gear	landing flaps	2	6.		True
5wDJKnyL	2015	F.6	105	Dans un message météo, que signifie le sigle NSC ?		No Significant Clouds	No Significant Ceilling	Nimbus Stratus Cumulus	No Stratus Crossing	0			
OtHBiZy4	2015	F.7	106	Dans un message météo, que signifie le sigle CAT ?		Ceiling Around Tower	Clear Air Turbulence	Calm Air Temporary	Cumulus Avoid Turbulence	1	6.		True
DC16tXej	2015	F.8	107	Which force is used to overcome gravity for a plane in normal flight ?		drag	weight	thrust	lift	3	6.		True
y2eM6b0x	2015	F.9	108	Que signifie le sigle ILS ?		Information Light System	Instrument Landing System	Intense Light System	Instrument Lighting System	1			
xfJCjyM0	2015	F.10	109	Choose the good proposition for a glider :		c'est un dispositif d'atterrissage aux instruments	c'est un homme volant	c'est un planeur	c'est un dispositif permettant d'empêcher le givrage du carburateur	2	6.		True
WHruCemw	2015	F.11	110	The primary flight controls are :		ailerons, elevator and rudder	flaps, spoilers and slats	the captain and the first pilot	the air controllers who work with primary radar	0			
ToNUnt3u	2015	F.12	111	When I pull the stick :		the flaps move down	the elevator moves down	the spoilers are deployed	the elevator moves up	3			
6F6lhP1e	2015	F.13	112	Les 3 axes autour desquels un avion peut se mouvoir sont les axes de roulis, tangage et lacet. En anglais et dans l'ordre, il s'agit de :		pitch, yaw, roll	roll, tangy, turn	roll, pitch, yaw	roll, hill, turn	2			
81OZtX4j	2015	F.14	113	L'étincelle de la bougie dans un moteur à pistons provient de la haute tension fournie par :		the battery	the battery on start-up and then the alternator	the starter motor	the magnetos	3	6.		True
YtdXOlFv	2015	F.15	114	L'anémomètre est appelé :		speedmaster	tachymetre	airspeed indicator	anemospeedmeter	2			
XnICYAxs	2015	F.16	115	Que comprenez-vous dans ce message concernant une piste : « snow removal is in progress runway one seven » ?		la piste 17 est en cours de déneigement	le déneigement de la piste 17 a fait des progrès	la neige a progressé sa couverture de la piste 17	la piste 17 est à présent déneigée	0	6.		True
gKPIPl6f	2015	F.17	116	"Le mot ""ignition"" fait référence au :"		choix initial de votre cap lors de l'alignement sur la piste	réglage initial de l'ordinateur de bord sur les gros porteurs ou plus simplement du pilote automatique sur les petits avions	dispositif d'allumage du moteur	dispositif d'augmentation de poussée d'un réacteur par injection de carburant dans la tuyère (postcombustion)	2	6.		True
hBEvAWDC	2015	F.18	117	Concerning an airplane, choose the right answer. :		the stick changes the position of the ailerons and elevator	the rudder pedals are connected to the wings	when you pull back the control column the nose of the aircraft is lowered	when you push forward the control column the nose of the aircraft rises	0	6.		True
qrPMEuej	2015	F.19	118	Le mot CREW désigne :		une pièce particulière d'un moteur à piston de type 4 temps	l'équipage d'un appareil	une pièce spécifique d'un hélicoptère	une vis	1	6.		True
YKo0Krdf	2015	F.20	119	"Le co-pilote déclare ""the gear warning light has come on green"". Que doit comprendre le commandant de bord ?"		le phare du train d'atterrissage s'est allumé en vert	le feu du train droit est allumé en vert	le voyant du train d'atterrissage étant devenu vert, le train est maintenant sorti	le voyant d'alerte du train d'atterrissage étant allumé, il faut attendre qu'il passe au vert	2			
d8llAN0T	2016	1.1	0	L'appareil servant à mesurer la vitesse du vent au sol s'appelle :	L’appareil servant à mesure la vitesse du vent s’appelle :	une girouette	une rose des vents	un baromètre	un anémomètre	3	3.4.		True
hcqXaVAu	2016	1.2	1	L'unité de pression utilisée dans le système international et en aéronautique est :		le pascal	le newton	le joule	le millimètre de mercure	0	3.1.		True
mEtGLX0z	2016	1.3	2	La transformation de l'eau de l'état gazeux à l'état liquide s'appelle :		la fusion	la sublimation	l'évaporation	la condensation	3			
T1R6meHz	2016	1.4	3	Sur une carte météorologique, la représentation ci-dessous indique la présence :		d'une dorsale barométrique	d'une dépression	d'un front froid	d'un front chaud	2	3.2.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FW4tz1WPm1fcDZkuwrE4z?alt=media&token=5bfc532e-8888-4257-90ba-2cf32b8ddb47	True
a8ZQBkdE	2016	1.5	4	Un vent du 090/20 vient :		de l'ouest à une vitesse de 20 kt	de l'est à une vitesse de 20 kt	de l'est à une vitesse de 20 km.h-1	de l'ouest à une vitesse de 20 km.h-1	1			
uBkt2f4A	2016	1.6	5	Dans l'atmosphère standard, la pression au niveau de la mer est :		1000 hPa	1013,25 hPa	recalculée périodiquement par Météo France	1000 Pa par convention internationale pour faciliter les calculs	1	3.1.		True
bqjWMWUl	2016	1.7	6	La surface atmosphérique se situant vers 11 000 m d'altitude est appelée :		stratopause	tropopause	stratosphère	planisphère	1			
qeTjTnsf	2016	1.8	7	Dans les basses couches de l'atmosphère standard, le gradient de température en s'élevant en altitude est de :		-2 °C par 1000 m	-2 °C par 1000 ft	+2 °C par 1000 m	+2 °C par 1000 ft	1	3.1.		True
